NACA 65(3)-618
1.00000	0.00000
0.95068	0.01433
0.90138	0.02863
0.85189	0.04306
0.80220	0.05719
0.75230	0.07075
0.70219	0.08338
0.65189	0.09482
0.60141	0.10479
0.55077	0.11293
0.50000	0.11877
0.44915	0.12186
0.39826	0.12210
0.34738	0.11972
0.29652	0.11504
0.24574	0.10803
0.19506	0.09848
0.14455	0.08602
0.09431	0.06978
0.06936	0.05971
0.04462	0.04776
0.02026	0.03268
0.00839	0.02293
0.00385	0.01776
0.00172	0.01446
0.00000	0.00000
0.00828	-0.01146
0.01115	-0.01356
0.01661	-0.01651
0.02974	-0.02152
0.05538	-0.0288
0.08064	-0.03427
0.10569	-0.03876
0.15545	-0.04564
0.20494	-0.05072
0.25426	-0.05433
0.30348	-0.05672
0.35262	-0.05792
0.40174	-0.05784
0.45085	-0.05616
0.50000	-0.05259
0.54923	-0.04723
0.59859	-0.04053
0.64811	-0.03302
0.69781	-0.02506
0.74770	-0.01705
0.79780	-0.00943
0.84811	-0.00268
0.89862	0.00239
0.94932	0.00463
1.00000	0.00000
