 NASA/LANGLEY NLF(1)-0215F AIRFOIL
33.        29.
 
 0.00000   0.00000
  .00240    .00917
  .00909    .01947
  .02004    .03027
  .03527    .04120
  .05469    .05201
  .07816    .06250
  .10546    .07247
  .13635    .08175
  .17050    .09019
  .20758    .09761
  .24720    .10389
  .28894    .10887
  .33237    .11240
  .37702    .11428
  .42253    .11427
  .46864    .11219
  .51524    .10784
  .56247    .10147
  .61010    .09373
  .65752    .08513
  .70408    .07603
  .74914    .06673
  .79206    .05746
  .83222    .04844
  .86902    .03983
  .90193    .03175
  .93044    .02428
  .95409    .01737
  .97285    .01082
  .98710    .00507
  .99658    .00126
 1.00000    .00000
 
 0.00000   0.00000
  .00245   -.00704
  .01099   -.01211
  .02592   -.01656
  .04653   -.02052
  .07242   -.02399
  .10324   -.02699
  .13854   -.02954
  .17788   -.03166
  .22073   -.03334
  .26654   -.03456
  .31473   -.03531
  .36468   -.03554
  .41576   -.03519
  .46731   -.03415
  .51867   -.03225
  .56920   -.02925
  .61825   -.02441
  .66662   -.01663
  .71614   -.00705
  .76645    .00167
  .81565    .00804
  .86198    .01155
  .90359    .01198
  .93862    .00990
  .96588    .00655
  .98504    .00323
  .99630    .00086
 1.00000    .00000
